"Species","mean_distance"
"Acaena novae-zelandiae",12.8571428571429
"Acetosella vulgaris",8.70454545454546
"Acrothamnus montanus",15
"Agrostis capillaris",15
"Agrostis venusta",10.4
"Argyrotegium fordianum",9.91304347826087
"Asperula gunnii",7.54545454545455
"Bossiaea sericea",15
"Brachyscome decipiens",8.86842105263158
"Brachyscome spathulata",10
"Bulbine glauca",15
"Carex breviculmis",8
"Carex hebes",7.97959183673469
"Celmisia costiniana",8.65384615384615
"Colobanthus affinis",8.9375
"Cotula alpina",11.6666666666667
"Craspedia aurantia",8.70731707317073
"Craspedia gracilis",11.25
"Erigeron nitidus (nitidius)",7.75
"Eucalyptus pauciflora",15
"Gonocarpus montanus",15
"Grevillea australis",10.0833333333333
"Helichrysum rutidolepis",7.5
"Hovea montana",9.82352941176471
"Hypochaeris radicata",8.39024390243902
"Kunzea muelleri",11.25
"Leptorhynchos squamatus",8.16666666666667
"Leucopogon montanus",5
"Luzula modesta",8.36842105263158
"Luzula novae-cambriae",8.71428571428571
"Microseris lanceolata",10.8461538461538
"Olearia brevipedunculata",13.75
"Olearia frostii",10.3666666666667
"Oreomyrrhis eriopoda",10.9411764705882
"Orites Lancifolius",12.5
"Orites lancifolius",13
"Ozothamnus alpinus",15
"Pappochroma bellidioides",7.85185185185185
"Pappochroma nitidum",6.5
"Pentachondra pumila",10
"Phebalium squamulosum",10.2
"Pimelea alpina",8.5
"Pimelea axiflora",15
"Plantago euryphylla",9.70588235294118
"Poa costiniana",15
"Poa hiemata",7.66666666666667
"Poa hothamensis",10.4444444444444
"Poa phillipsiana",15
"Prasophyllum alpinum",11.6666666666667
"Prasophyllum sp.",9.33333333333333
"Ranunculus victoriensis",8.34782608695652
"Rytidosperma nudiflorum",8.04347826086956
"Scleranthus biflorus",8.23255813953488
"Scleranthus singuliflorus",8.27777777777778
"Senecio gunnii",13.5714285714286
"Senecio pinnatifolius",9.42857142857143
"Stackhousia monogyna",5
"Stylidium sp.",15
"Tasmannia xerophila",15
"Trachymene humilis",8.10526315789474
"Trifolium",10
"Trisetum spicatum",11.4285714285714
"Viola betonicifolia",10.5454545454545
"Wahlenbergia",12.5
"Xerochrysum subundulatum",8.71428571428571
