"Species","min_distance"
"Acaena novae-zelandiae",5
"Acetosella vulgaris",1
"Acrothamnus montanus",15
"Agrostis capillaris",15
"Agrostis venusta",1
"Argyrotegium fordianum",1
"Asperula gunnii",1
"Bossiaea sericea",15
"Brachyscome decipiens",1
"Brachyscome spathulata",5
"Bulbine glauca",15
"Carex breviculmis",1
"Carex hebes",1
"Celmisia costiniana",1
"Colobanthus affinis",1
"Cotula alpina",5
"Craspedia aurantia",1
"Craspedia gracilis",5
"Erigeron nitidus (nitidius)",1
"Eucalyptus pauciflora",15
"Gonocarpus montanus",15
"Grevillea australis",1
"Helichrysum rutidolepis",5
"Hovea montana",1
"Hypochaeris radicata",1
"Kunzea muelleri",5
"Leptorhynchos squamatus",1
"Leucopogon montanus",5
"Luzula modesta",1
"Luzula novae-cambriae",1
"Microseris lanceolata",1
"Olearia brevipedunculata",10
"Olearia frostii",1
"Oreomyrrhis eriopoda",1
"Orites Lancifolius",10
"Orites lancifolius",5
"Ozothamnus alpinus",15
"Pappochroma bellidioides",1
"Pappochroma nitidum",1
"Pentachondra pumila",5
"Phebalium squamulosum",1
"Pimelea alpina",1
"Pimelea axiflora",15
"Plantago euryphylla",1
"Poa costiniana",15
"Poa hiemata",1
"Poa hothamensis",1
"Poa phillipsiana",15
"Prasophyllum alpinum",5
"Prasophyllum sp.",1
"Ranunculus victoriensis",1
"Rytidosperma nudiflorum",1
"Scleranthus biflorus",1
"Scleranthus singuliflorus",1
"Senecio gunnii",5
"Senecio pinnatifolius",1
"Stackhousia monogyna",5
"Stylidium sp.",15
"Tasmannia xerophila",15
"Trachymene humilis",1
"Trifolium",5
"Trisetum spicatum",5
"Viola betonicifolia",1
"Wahlenbergia",10
"Xerochrysum subundulatum",1
